id,title,category,source,tags,source_url
advanced-expressjs-middleware-boilerplate,Advanced Express.js Middleware Boilerplate,Backend,Backend,enterprise|express|nodejs,https://skills.ai/backend/advanced-expressjs-middleware-boilerplate
automated-django-model-to-view-scaffolding,Automated Django Model to View scaffolding,Backend,Backend,django|enterprise|python,https://skills.ai/backend/automated-django-model-to-view-scaffolding
django-model-to-view-scaffolding,Django Model to View scaffolding,Backend,Backend,django|python,https://skills.ai/backend/django-model-to-view-scaffolding
enterprise-fastapi-crud-route-generator,Enterprise FastAPI CRUD Route Generator,Backend,Backend,enterprise|fastapi|python|rest,https://skills.ai/backend/enterprise-fastapi-crud-route-generator
expressjs-middleware-boilerplate,Express.js Middleware Boilerplate,Backend,Backend,express|nodejs,https://skills.ai/backend/expressjs-middleware-boilerplate
fastapi-crud-route-generator,FastAPI CRUD Route Generator,Backend,Backend,fastapi|python|rest,https://skills.ai/backend/fastapi-crud-route-generator
go-fiber-rest-api-setup,Go Fiber REST API Setup,Backend,Backend,backend|go,https://skills.ai/backend/go-fiber-rest-api-setup
graphql-schema-builder,GraphQL Schema Builder,Backend,Backend,graphql|nodejs,https://skills.ai/backend/graphql-schema-builder
interactive-graphql-schema-builder,Interactive GraphQL Schema Builder,Backend,Backend,enterprise|graphql|nodejs,https://skills.ai/backend/interactive-graphql-schema-builder
secure-go-fiber-rest-api-setup,Secure Go Fiber REST API Setup,Backend,Backend,backend|enterprise|go,https://skills.ai/backend/secure-go-fiber-rest-api-setup
