id,title,category,source,tags,source_url
brave-search-mcp,Brave Search MCP,MCP Server,Anthropic,,https://github.com/mcp-servers/brave-search-mcp
filesystem-mcp,Filesystem MCP,MCP Server,Anthropic,,https://github.com/mcp-servers/filesystem-mcp
github-mcp,GitHub MCP,MCP Server,GitHub,,https://github.com/mcp-servers/github-mcp
google-drive-mcp,Google Drive MCP,MCP Server,Google,,https://github.com/mcp-servers/google-drive-mcp
linear-mcp,Linear MCP,MCP Server,Linear,,https://github.com/mcp-servers/linear-mcp
notion-mcp,Notion MCP,MCP Server,Notion,,https://github.com/mcp-servers/notion-mcp
postgres-mcp,Postgres MCP,MCP Server,PostgreSQL,,https://github.com/mcp-servers/postgres-mcp
slack-mcp,Slack MCP,MCP Server,Slack,,https://github.com/mcp-servers/slack-mcp
sqlite-mcp,SQLite MCP,MCP Server,SQLite,,https://github.com/mcp-servers/sqlite-mcp
stripe-mcp,Stripe MCP,MCP Server,Stripe,,https://github.com/mcp-servers/stripe-mcp
