id,title,category,source,tags,source_url
docker,Docker,Tool,Docker Inc,containers|devops,https://github.com/docker-inc/docker
elasticsearch,Elasticsearch,Tool,Elastic,database|search,https://github.com/elastic/elasticsearch
fastapi,FastAPI,Tool,Python Software Foundation,api|backend|python,https://github.com/python-software-foundation/fastapi
kafka,Kafka,Tool,Apache,data|streaming,https://github.com/apache/kafka
nextjs,Next.js,Tool,Vercel,framework|react|ssr,https://github.com/vercel/nextjs
pytorch,PyTorch,Tool,Meta,ai|ml|python,https://github.com/meta/pytorch
react,React,Tool,Facebook,frontend|javascript|ui,https://github.com/facebook/react
tensorflow,TensorFlow,Tool,Google,ai|ml|python,https://github.com/google/tensorflow
terraform,Terraform,Tool,HashiCorp,devops|iac,https://github.com/hashicorp/terraform
vuejs,Vue.js,Tool,Evan You,frontend|javascript,https://github.com/evan-you/vuejs
