id,title,category,source,tags,source_url
arxiv_2407.18245v3,VGGHeads: 3D Multi Head Alignment with a Large-Scale Synthetic Dataset,cs.CV,ArXiv,,http://arxiv.org/abs/2407.18245v3
arxiv_2410.00713v5,RAD: A Dataset and Benchmark for Real-Life Anomaly Detection with Robotic Observations,cs.CV,ArXiv,,http://arxiv.org/abs/2410.00713v5
arxiv_2411.19537v4,Deepfake Media Generation and Detection in the Generative AI Era: A Survey and Outlook,cs.CV,ArXiv,,http://arxiv.org/abs/2411.19537v4
arxiv_2501.14546v2,Leveraging ChatGPT's Multimodal Vision Capabilities to Rank Satellite Images by Poverty Level: Advancing Tools for Social Science Research,cs.CV,ArXiv,,http://arxiv.org/abs/2501.14546v2
arxiv_2505.17674v3,SVL: Empowering Spiking Neural Networks for Efficient 3D Open-World Understanding,cs.CV,ArXiv,,http://arxiv.org/abs/2505.17674v3
arxiv_2505.20255v3,AniCrafter: Customizing Realistic Human-Centric Animation via Avatar-Background Conditioning in Video Diffusion Models,cs.CV,ArXiv,,http://arxiv.org/abs/2505.20255v3
arxiv_2506.01274v2,ReFoCUS: Reinforcement-guided Frame Optimization for Contextual Understanding,cs.CV,ArXiv,,http://arxiv.org/abs/2506.01274v2
arxiv_2506.10890v2,CreatiPoster: Towards Editable and Controllable Multi-Layer Graphic Design Generation,cs.CV,ArXiv,,http://arxiv.org/abs/2506.10890v2
arxiv_2506.13553v4,Geometry-Guided Representations for Coherent Lane and Traffic Topology Reasoning in Driving Scenes,cs.CV,ArXiv,,http://arxiv.org/abs/2506.13553v4
arxiv_2506.14243v4,Multi-Representation Geometric Hierarchy Fusion: An Implicit-Submap Driven Framework for Resilient 3D Place Recognition,cs.CV,ArXiv,,http://arxiv.org/abs/2506.14243v4
arxiv_2506.18164v2,CDG-MAE: Cross-view Masked Modeling using Diffusion Generated Views,cs.CV,ArXiv,,http://arxiv.org/abs/2506.18164v2
arxiv_2506.20302v2,TDiR: Transformer based Diffusion for Image Restoration Tasks,cs.CV,ArXiv,,http://arxiv.org/abs/2506.20302v2
arxiv_2507.19474v2,DINO-SLAM: DINO-informed RGB-D SLAM for Neural Implicit and Explicit Representations,cs.CV,ArXiv,,http://arxiv.org/abs/2507.19474v2
