id,title,category,source,tags,source_url
arxiv_2405.16440v2,MambaTS: Improved Selective State Space Models for Long-term Time Series Forecasting,cs.LG,ArXiv,,http://arxiv.org/abs/2405.16440v2
arxiv_2501.14249v11,Humanity's Last Exam,cs.LG,ArXiv,,http://arxiv.org/abs/2501.14249v11
arxiv_2503.03156v4,Dimensionality reduction for homological stability and global structure preservation,cs.LG,ArXiv,,http://arxiv.org/abs/2503.03156v4
arxiv_2503.14549v3,"Sampling Decisions: Exact Path-Space Correction, Prior Cancellation and Local-Boltzmann Guidance",cs.LG,ArXiv,,http://arxiv.org/abs/2503.14549v3
arxiv_2504.06407v2,Understanding Machine Unlearning Through the Lens of Mode Connectivity,cs.LG,ArXiv,,http://arxiv.org/abs/2504.06407v2
arxiv_2505.18934v2,Chi-Square Wavelet Graph Neural Networks for Heterogeneous Graph Anomaly Detection,cs.LG,ArXiv,,http://arxiv.org/abs/2505.18934v2
arxiv_2507.01551v3,Self-Guided Process Reward Optimization with Redefined Step-wise Advantage for Process Reinforcement Learning,cs.LG,ArXiv,,http://arxiv.org/abs/2507.01551v3
arxiv_2507.04219v5,Model Collapse Is Not a Bug but a Feature in Machine Unlearning for LLMs,cs.LG,ArXiv,,http://arxiv.org/abs/2507.04219v5
arxiv_2507.06445v3,Can Interpretation Predict Behavior on Unseen Data?,cs.LG,ArXiv,,http://arxiv.org/abs/2507.06445v3
arxiv_2508.09697v4,Label-Noise Resistant Learning via Optimal Brain Damage Masking,cs.LG,ArXiv,,http://arxiv.org/abs/2508.09697v4
arxiv_2509.23937v5,On the Separability of Information in Diffusion Models,cs.LG,ArXiv,,http://arxiv.org/abs/2509.23937v5
arxiv_2510.14717v2,Seesaw: Accelerating Training by Balancing Learning Rate and Batch Size Scheduling,cs.LG,ArXiv,,http://arxiv.org/abs/2510.14717v2
arxiv_2510.22228v2,When Fewer Layers Break More Chains: Layer Pruning Harms Test-Time Scaling in LLMs,cs.LG,ArXiv,,http://arxiv.org/abs/2510.22228v2
arxiv_2511.02659v4,In Situ Training of Implicit Neural Compressors for Scientific Simulations via Sketch-Based Regularization,cs.LG,ArXiv,,http://arxiv.org/abs/2511.02659v4
arxiv_2511.12265v2,Stabilizing Multi-Attack Adversarial Training via Bandit Optimization,cs.LG,ArXiv,,http://arxiv.org/abs/2511.12265v2
arxiv_2512.01208v5,Language as a Wave Phenomenon: Semantic Phase Locking and Interference in Neural Networks,cs.LG,ArXiv,,http://arxiv.org/abs/2512.01208v5
