id,title,category,source,tags,source_url
arxiv_2509.09631v5,DiFlow-TTS: Compact and Low-Latency Zero-Shot Text-to-Speech with Discrete Flow Matching,cs.SD,ArXiv,,http://arxiv.org/abs/2509.09631v5
arxiv_2603.23667v3,Echoes: A semantically-aligned music deepfake detection dataset,cs.SD,ArXiv,,http://arxiv.org/abs/2603.23667v3
arxiv_2604.16056v2,"AST: Adaptive, Seamless, and Training-Free Precise Speech Editing",cs.SD,ArXiv,,http://arxiv.org/abs/2604.16056v2
arxiv_2606.11836v2,Towards Data-free and Training-free Compression for Speech Foundation Models Using Parameter Clustering,cs.SD,ArXiv,,http://arxiv.org/abs/2606.11836v2
arxiv_2606.14591v1,AudioDER: A Deduplication-Enhanced Reasoning Dataset for Post-Training Large Audio-Language Models,cs.SD,ArXiv,,http://arxiv.org/abs/2606.14591v1
arxiv_2606.14612v1,Moonlight in Latent Space: Chirality and Structural Correspondence Between Beethoven's Op. 27 No. 2 and Machine Learning Mechanisms,cs.SD,ArXiv,,http://arxiv.org/abs/2606.14612v1
arxiv_2606.14639v1,From Self-Supervised Speech Models to Mixture-of-Experts for Robust Anti-Spoofing,cs.SD,ArXiv,,http://arxiv.org/abs/2606.14639v1
arxiv_2606.14647v1,Listening with Attention: Entropy-Guided Explainability for Transformer-Based Audio Models,cs.SD,ArXiv,,http://arxiv.org/abs/2606.14647v1
arxiv_2606.16969v1,Probing Low Frame Rate Degradation in Neural Audio Codecs,cs.SD,ArXiv,,http://arxiv.org/abs/2606.16969v1
arxiv_2606.17006v1,TuneJury: An Open Metric for Improving Music Generation Preference Alignment,cs.SD,ArXiv,,http://arxiv.org/abs/2606.17006v1
arxiv_2606.18135v1,Descriptor: Certus Caliber Classification Gunshot Dataset (C3GD),cs.SD,ArXiv,,http://arxiv.org/abs/2606.18135v1
arxiv_2606.19325v1,Reference-Driven Multi-Speaker Audio Scene Generation from In-the-Wild Priors,cs.SD,ArXiv,,http://arxiv.org/abs/2606.19325v1
arxiv_2607.20253v1,Pushing the Frontier of Full-Song Generation: Hierarchical Autoregressive Planning Meets Flow-Matching Rendering,cs.SD,ArXiv,,http://arxiv.org/abs/2607.20253v1
arxiv_2607.27109v1,MMAC: A Massive Multi-dimensional Benchmark for Audio Captioning,cs.SD,ArXiv,,http://arxiv.org/abs/2607.27109v1
arxiv_2608.03920v1,Equivariant Music Transformer,cs.SD,ArXiv,,http://arxiv.org/abs/2608.03920v1
arxiv_2608.03999v1,Agogic: Performance-Timed Music Tokens for LLM-Native Text-to-Symbolic-Music Generation,cs.SD,ArXiv,,http://arxiv.org/abs/2608.03999v1
arxiv_2608.09930v1,Beyond Naturalness: Probing Automated Text-To-Speech Evaluators on Linguistically Grounded Dimensions,cs.SD,ArXiv,,http://arxiv.org/abs/2608.09930v1
arxiv_2608.09930v1,,cs.SD,ArXiv,,http://arxiv.org/abs/2608.09930v1
