id,title,category,source,tags,source_url
arxiv_2205.06947v3,BCNet: Bronchus Classification via Structure Guided Representation Learning,eess.IV,ArXiv,,http://arxiv.org/abs/2205.06947v3
arxiv_2503.05916v2,SAS: Segment Anything Small for Ultrasound -- A Non-Generative Data Augmentation Technique for Robust Deep Learning in Ultrasound Imaging,eess.IV,ArXiv,,http://arxiv.org/abs/2503.05916v2
arxiv_2506.12006v4,crossMoDA Challenge: Evolution of Cross-Modality Domain Adaptation Techniques for Vestibular Schwannoma and Cochlea Segmentation from 2021 to 2023,eess.IV,ArXiv,,http://arxiv.org/abs/2506.12006v4
arxiv_2507.05077v5,Sequential Attention-based Sampling for Histopathological Analysis,eess.IV,ArXiv,,http://arxiv.org/abs/2507.05077v5
arxiv_2508.13287v4,InnerGS: Internal Scenes Reconstruction and Segmentation via Factorized 3D Gaussian Splatting,eess.IV,ArXiv,,http://arxiv.org/abs/2508.13287v4
arxiv_2602.03998v3,AtlasPatch: Scalable Foundation Model-based Tissue Detection and Patch Extraction for Computational Pathology,eess.IV,ArXiv,,http://arxiv.org/abs/2602.03998v3
arxiv_2606.26236v2,Rendering Novel Views of MRI Using 3D Gaussian Splatting,eess.IV,ArXiv,,http://arxiv.org/abs/2606.26236v2
arxiv_2607.27825v2,Endo-NeRF++: Uncertainty-Aware Neural Rendering with Multi-Resolution Hash Encoding for Dynamic Surgical Scene Reconstruction,eess.IV,ArXiv,,http://arxiv.org/abs/2607.27825v2
arxiv_2608.12227v1,Domain-Aware Lightweight Spectral-Grouped Convolutions for Hyperspectral Fish Freshness Classification,eess.IV,ArXiv,,http://arxiv.org/abs/2608.12227v1
arxiv_2608.13791v2,VLM- and LLM-Driven Multi-Agent System for PET Image Denoising,eess.IV,ArXiv,,http://arxiv.org/abs/2608.13791v2
arxiv_2608.14422v1,UMPIRE-Net: Unrolled Magnitude-Phase Regularization Network for Accelerated MRI,eess.IV,ArXiv,,http://arxiv.org/abs/2608.14422v1
arxiv_2608.18036v1,Harnessing Magnitude-Only and Complex Measurements for Improved Dynamic MRI Reconstruction with Learned Priors,eess.IV,ArXiv,,http://arxiv.org/abs/2608.18036v1
arxiv_2608.18055v1,Primitive Representation Learning for Unsupervised Dynamic Contrast Enhanced MRI Reconstruction,eess.IV,ArXiv,,http://arxiv.org/abs/2608.18055v1
arxiv_2608.24768v1,Score-Based Ideal Observer Approximation via Denoising Score Matching for Signal-Known-Exactly Detection Tasks,eess.IV,ArXiv,,http://arxiv.org/abs/2608.24768v1
