id,title,category,source,tags,source_url
hf_ds_621ffdd236468d709f181db0,uoft-cs/cifar10,dataset,HuggingFace Datasets,annotations_creators:crowdsourced|format:parquet|language:en|language_creators:found|library:datasets|library:mlcroissant|library:pandas|library:polars|license:unknown|modality:image|multilinguality:monolingual|region:us|size_categories:10K<n<100K|source_datasets:extended|other-80-Million-Tiny-Images|task_categories:image-classification,https://huggingface.co/datasets/uoft-cs/cifar10
hf_ds_621ffdd236468d709f181dba,abisee/cnn_dailymail,dataset,HuggingFace Datasets,annotations_creators:no-annotation|format:parquet|language:en|language_creators:found|library:dask|library:datasets|library:mlcroissant|library:polars|license:apache-2.0|modality:text|multilinguality:monolingual|region:us|size_categories:100K<n<1M|source_datasets:original|task_categories:summarization|task_ids:news-articles-summarization,https://huggingface.co/datasets/abisee/cnn_dailymail
hf_ds_621ffdd236468d709f181e3f,nyu-mll/glue,dataset,HuggingFace Datasets,annotations_creators:other|arxiv:1804.07461|coreference-nli|format:parquet|language:en|language_creators:other|library:datasets|library:mlcroissant|library:pandas|library:polars|license:other|modality:tabular|modality:text|multilinguality:monolingual|paraphrase-identification|qa-nli|region:us|size_categories:1M<n<10M|source_datasets:original|task_categories:text-classification|task_ids:acceptability-classification|task_ids:natural-language-inference|task_ids:semantic-similarity-scoring|task_ids:sentiment-classification|task_ids:text-scoring,https://huggingface.co/datasets/nyu-mll/glue
hf_ds_621ffdd236468d709f181e5d,Rowan/hellaswag,dataset,HuggingFace Datasets,arxiv:1905.07830|format:parquet|language:en|library:datasets|library:mlcroissant|library:pandas|library:polars|modality:text|region:us|size_categories:10K<n<100K,https://huggingface.co/datasets/Rowan/hellaswag
hf_ds_621ffdd236468d709f181e5e,cais/mmlu,dataset,HuggingFace Datasets,annotations_creators:no-annotation|arxiv:2005.00700|arxiv:2005.14165|arxiv:2008.02275|arxiv:2009.03300|format:parquet|language:en|language_creators:expert-generated|library:datasets|library:mlcroissant|library:pandas|library:polars|license:mit|modality:text|multilinguality:monolingual|region:us|size_categories:100K<n<1M|source_datasets:original|task_categories:question-answering|task_ids:multiple-choice-qa,https://huggingface.co/datasets/cais/mmlu
hf_ds_621ffdd236468d709f181e77,stanfordnlp/imdb,dataset,HuggingFace Datasets,annotations_creators:expert-generated|format:parquet|language:en|language_creators:expert-generated|library:datasets|library:mlcroissant|library:pandas|library:polars|license:other|modality:text|multilinguality:monolingual|region:us|size_categories:100K<n<1M|source_datasets:original|task_categories:text-classification|task_ids:sentiment-classification,https://huggingface.co/datasets/stanfordnlp/imdb
hf_ds_621ffdd236468d709f181eb4,google-research-datasets/mbpp,dataset,HuggingFace Datasets,annotations_creators:crowdsourced|annotations_creators:expert-generated|arxiv:2108.07732|code-generation|format:parquet|language:en|language_creators:crowdsourced|language_creators:expert-generated|library:datasets|library:mlcroissant|library:pandas|library:polars|license:cc-by-4.0|modality:text|multilinguality:monolingual|region:us|size_categories:1K<n<10K|source_datasets:original,https://huggingface.co/datasets/google-research-datasets/mbpp
hf_ds_621ffdd236468d709f181fa6,aps/super_glue,dataset,HuggingFace Datasets,NLU|annotations_creators:expert-generated|arxiv:1905.00537|format:parquet|language:en|language_creators:other|library:datasets|library:mlcroissant|library:pandas|library:polars|license:other|modality:tabular|modality:text|multilinguality:monolingual|natural language understanding|region:us|size_categories:100K<n<1M|source_datasets:extended|other|superglue|task_categories:question-answering|task_categories:text-classification|task_categories:token-classification|task_ids:coreference-resolution|task_ids:extractive-qa|task_ids:natural-language-inference|task_ids:word-sense-disambiguation,https://huggingface.co/datasets/aps/super_glue
hf_ds_621ffdd236468d709f18200d,Salesforce/wikitext,dataset,HuggingFace Datasets,annotations_creators:no-annotation|arxiv:1609.07843|format:parquet|language:en|language_creators:crowdsourced|library:dask|library:datasets|library:mlcroissant|library:polars|license:cc-by-sa-3.0|license:gfdl|modality:text|multilinguality:monolingual|region:us|size_categories:1M<n<10M|source_datasets:original|task_categories:fill-mask|task_categories:text-generation|task_ids:language-modeling|task_ids:masked-language-modeling,https://huggingface.co/datasets/Salesforce/wikitext
hf_ds_621ffdd236468d709f1825d5,Narsil/image_dummy,dataset,HuggingFace Datasets,library:datasets|library:mlcroissant|modality:audio|modality:image|modality:text|region:us|size_categories:n<1K,https://huggingface.co/datasets/Narsil/image_dummy
