id,title,category,source,tags,source_url
arxiv_2506.01274v2,ReFoCUS: Reinforcement-guided Frame Optimization for Contextual Understanding,cs.CV,ArXiv,,http://arxiv.org/abs/2506.01274v2
arxiv_2604.18307v2,"Reasoning Models Know What's Important, and Encode It in Their Activations",cs.CL,ArXiv,,http://arxiv.org/abs/2604.18307v2
arxiv_2605.25225v2,Transformer Field Theory: A Response-Theoretic Approach to Mechanistic Interpretability,cs.LG,ArXiv,,http://arxiv.org/abs/2605.25225v2
arxiv_2605.27628v2,"Intelligence as Managed Autonomy: Failure, Escalation, and Governance for Agentic AI Systems",cs.AI,ArXiv,,http://arxiv.org/abs/2605.27628v2
arxiv_2605.31514v3,"If LLMs Have Human-Like Attributes, Then So Does Age of Empires II",cs.CL,ArXiv,,http://arxiv.org/abs/2605.31514v3
arxiv_2606.02133v3,Variational Learning for Insertion-based Generation,cs.LG,ArXiv,,http://arxiv.org/abs/2606.02133v3
arxiv_2606.07515v2,How reliable are LLMs when it comes to playing dice?,cs.CL,ArXiv,,http://arxiv.org/abs/2606.07515v2
arxiv_2606.11042v3,Workflow-GYM: Towards Long-Horizon Evaluation of Computer-use Agentic tasks in Real-World Professional Fields,cs.AI,ArXiv,,http://arxiv.org/abs/2606.11042v3
arxiv_2606.11836v2,Towards Data-free and Training-free Compression for Speech Foundation Models Using Parameter Clustering,cs.SD,ArXiv,,http://arxiv.org/abs/2606.11836v2
arxiv_2606.13562v1,Contrast-Informed Augmentation and Domain-Adversarial Training for Adult-to-Neonatal MR Reconstruction Generalization,cs.CV,ArXiv,,http://arxiv.org/abs/2606.13562v1
arxiv_2606.13566v1,A Three-Layer Framework for AI in Scientific Discovery,cs.AI,ArXiv,,http://arxiv.org/abs/2606.13566v1
arxiv_2606.13571v1,Existence Precedes Value: Joint Modeling of Observational Existence and Evolving States in Time Series Forecasting,cs.LG,ArXiv,,http://arxiv.org/abs/2606.13571v1
arxiv_2606.13572v1,ArogyaSutra: A Multi-Agent Framework for Multimodal Medical Reasoning in Indic Languages,cs.CL,ArXiv,,http://arxiv.org/abs/2606.13572v1
arxiv_2606.13578v1,LabVLA: Grounding Vision-Language-Action Models in Scientific Laboratories,cs.CL,ArXiv,,http://arxiv.org/abs/2606.13578v1
arxiv_2606.13580v1,EvTexture++: Event-Driven Texture Enhancement for Video Super-Resolution,cs.CV,ArXiv,,http://arxiv.org/abs/2606.13580v1
arxiv_2606.13581v1,"The Tone of Awareness: Topic, Sentiment, and Toxicity Maps During Mental Health Month on TikTok",cs.CY,ArXiv,,http://arxiv.org/abs/2606.13581v1
arxiv_2606.13587v1,Towards Effective Waste Segmentation for Automated Waste Recycling in Cluttered Background,cs.CV,ArXiv,,http://arxiv.org/abs/2606.13587v1
