id,title,category,source,tags,source_url
gh_1024554267,hermes-agent,tool,GitHub Trending,,https://github.com/NousResearch/hermes-agent
gh_1032459340,OpenSpec,tool,GitHub Trending,,https://github.com/Fission-AI/OpenSpec
gh_1042367133,spec-kit,tool,GitHub Trending,,https://github.com/github/spec-kit
gh_1048065319,claude-mem,tool,GitHub Trending,,https://github.com/thedotmack/claude-mem
gh_10744183,netdata,tool,GitHub Trending,,https://github.com/netdata/netdata
gh_1087192965,claude-code-best-practice,tool,GitHub Trending,,https://github.com/shanraisshan/claude-code-best-practice
gh_1103012935,openclaw,tool,GitHub Trending,,https://github.com/openclaw/openclaw
gh_1108837393,oh-my-openagent,tool,GitHub Trending,,https://github.com/code-yeongyu/oh-my-openagent
gh_1130564872,worldmonitor,tool,GitHub Trending,,https://github.com/koala73/worldmonitor
gh_1201173969,caveman,tool,GitHub Trending,,https://github.com/JuliusBrussee/caveman
gh_1201656210,mempalace,tool,GitHub Trending,,https://github.com/MemPalace/mempalace
gh_130688011,meilisearch,tool,GitHub Trending,,https://github.com/meilisearch/meilisearch
gh_132464395,JavaGuide,tool,GitHub Trending,,https://github.com/Snailclimb/JavaGuide
gh_193215554,n8n,tool,GitHub Trending,,https://github.com/n8n-io/n8n
gh_214587193,supabase,tool,GitHub Trending,,https://github.com/supabase/supabase
gh_323048702,OpenBB,tool,GitHub Trending,,https://github.com/OpenBB-finance/OpenBB
gh_344190478,AI-For-Beginners,tool,GitHub Trending,,https://github.com/microsoft/AI-For-Beginners
gh_44662669,dbeaver,tool,GitHub Trending,,https://github.com/dbeaver/dbeaver
gh_527591471,stable-diffusion-webui,tool,GitHub Trending,,https://github.com/AUTOMATIC1111/stable-diffusion-webui
gh_552661142,langchain,tool,GitHub Trending,,https://github.com/langchain-ai/langchain
gh_574523116,prompts.chat,tool,GitHub Trending,,https://github.com/f/prompts.chat
gh_575340621,ChatGPT,tool,GitHub Trending,,https://github.com/lencx/ChatGPT
gh_589831718,ComfyUI,tool,GitHub Trending,,https://github.com/Comfy-Org/ComfyUI
gh_60246359,ClickHouse,tool,GitHub Trending,,https://github.com/ClickHouse/ClickHouse
gh_614765452,AutoGPT,tool,GitHub Trending,,https://github.com/Significant-Gravitas/AutoGPT
gh_615869301,LocalAI,tool,GitHub Trending,,https://github.com/mudler/LocalAI
gh_626805178,dify,tool,GitHub Trending,,https://github.com/langgenius/dify
gh_634224458,gpt-engineer,tool,GitHub Trending,,https://github.com/AntonOsika/gpt-engineer
gh_635240594,private-gpt,tool,GitHub Trending,,https://github.com/zylon-ai/private-gpt
gh_643445235,lobehub,tool,GitHub Trending,,https://github.com/lobehub/lobehub
gh_646410686,LlamaFactory,tool,GitHub Trending,,https://github.com/hiyouga/LlamaFactory
gh_655806940,generative-ai-for-beginners,tool,GitHub Trending,,https://github.com/microsoft/generative-ai-for-beginners
gh_656099147,mem0,tool,GitHub Trending,,https://github.com/mem0ai/mem0
gh_669879380,LLMs-from-scratch,tool,GitHub Trending,,https://github.com/rasbt/LLMs-from-scratch
gh_680120071,autogen,tool,GitHub Trending,,https://github.com/microsoft/autogen
gh_695864515,Deep-Live-Cam,tool,GitHub Trending,,https://github.com/hacksider/Deep-Live-Cam
gh_701547123,open-webui,tool,GitHub Trending,,https://github.com/open-webui/open-webui
gh_710601088,crewAI,tool,GitHub Trending,,https://github.com/crewAIInc/crewAI
gh_730534580,ragflow,tool,GitHub Trending,,https://github.com/infiniflow/ragflow
gh_753490180,daytona,tool,GitHub Trending,,https://github.com/daytonaio/daytona
gh_770153867,MoneyPrinterTurbo,tool,GitHub Trending,,https://github.com/harry0703/MoneyPrinterTurbo
gh_787076358,firecrawl,tool,GitHub Trending,,https://github.com/firecrawl/firecrawl
gh_826168160,docling,tool,GitHub Trending,,https://github.com/docling-project/docling
gh_846698999,goose,tool,GitHub Trending,,https://github.com/aaif-goose/goose
gh_872119017,Scrapling,tool,GitHub Trending,,https://github.com/D4Vinci/Scrapling
gh_968197216,gemini-cli,tool,GitHub Trending,,https://github.com/google-gemini/gemini-cli
gh_974186260,TrendRadar,tool,GitHub Trending,,https://github.com/sansan0/TrendRadar
gh_979115477,deer-flow,tool,GitHub Trending,,https://github.com/bytedance/deer-flow
