id,title,category,source,tags,source_url
arxiv_2506.01274v2,ReFoCUS: Reinforcement-guided Frame Optimization for Contextual Understanding,cs.CV,ArXiv,,http://arxiv.org/abs/2506.01274v2
arxiv_2606.13562v1,Contrast-Informed Augmentation and Domain-Adversarial Training for Adult-to-Neonatal MR Reconstruction Generalization,cs.CV,ArXiv,,http://arxiv.org/abs/2606.13562v1
arxiv_2606.13580v1,EvTexture++: Event-Driven Texture Enhancement for Video Super-Resolution,cs.CV,ArXiv,,http://arxiv.org/abs/2606.13580v1
arxiv_2606.13587v1,Towards Effective Waste Segmentation for Automated Waste Recycling in Cluttered Background,cs.CV,ArXiv,,http://arxiv.org/abs/2606.13587v1
arxiv_2606.13625v1,Revisiting Vehicle Color Recognition in Long-Tailed Surveillance Scenarios,cs.CV,ArXiv,,http://arxiv.org/abs/2606.13625v1
arxiv_2606.13644v1,Surflo: Consistent 3D Surface Flow Model with Global State,cs.CV,ArXiv,,http://arxiv.org/abs/2606.13644v1
arxiv_2606.13652v1,World Tracing: Generative Pixel-Aligned Geometry Beyond the Visible,cs.CV,ArXiv,,http://arxiv.org/abs/2606.13652v1
arxiv_2606.13655v1,Flex4DHuman: Flexible Multi-view Video Diffusion for 4D Human Reconstruction,cs.CV,ArXiv,,http://arxiv.org/abs/2606.13655v1
arxiv_2606.13673v1,SpatialClaw: Rethinking Action Interface for Agentic Spatial Reasoning,cs.CV,ArXiv,,http://arxiv.org/abs/2606.13673v1
arxiv_2606.13674v1,RepWAM: World Action Modeling with Representation Visual-Action Tokenizers,cs.CV,ArXiv,,http://arxiv.org/abs/2606.13674v1
arxiv_2606.13676v1,Modality Forcing for Scalable Spatial Generation,cs.CV,ArXiv,,http://arxiv.org/abs/2606.13676v1
arxiv_2606.13679v1,InterleaveThinker: Reinforcing Agentic Interleaved Generation,cs.CV,ArXiv,,http://arxiv.org/abs/2606.13679v1
