id,title,category,source,tags,source_url
arxiv_2604.18419v5,Knowing When to Quit: A Principled Framework for Dynamic Abstention in LLM Reasoning,cs.LG,ArXiv,,http://arxiv.org/abs/2604.18419v5
arxiv_2604.21335v3,Sub-Token Routing for KV Cache Compression,cs.LG,ArXiv,,http://arxiv.org/abs/2604.21335v3
arxiv_2605.25225v2,Transformer Field Theory: A Response-Theoretic Approach to Mechanistic Interpretability,cs.LG,ArXiv,,http://arxiv.org/abs/2605.25225v2
arxiv_2606.02133v3,Variational Learning for Insertion-based Generation,cs.LG,ArXiv,,http://arxiv.org/abs/2606.02133v3
arxiv_2606.13571v1,Existence Precedes Value: Joint Modeling of Observational Existence and Evolving States in Time Series Forecasting,cs.LG,ArXiv,,http://arxiv.org/abs/2606.13571v1
arxiv_2606.13603v1,Beyond the Commitment Boundary: Probing Epiphenomenal Chain-of-Thought in Large Reasoning Models,cs.LG,ArXiv,,http://arxiv.org/abs/2606.13603v1
arxiv_2606.14581v1,CARE: Controlling LLM-Generated Policies through Auditable Review of Evidence in Scientific Experimentation,cs.LG,ArXiv,,http://arxiv.org/abs/2606.14581v1
arxiv_2606.14604v1,A Comparative Study of Deep Learning Architectures for Multi-Horizon Behavioural Forecasting for Mobile Health,cs.LG,ArXiv,,http://arxiv.org/abs/2606.14604v1
arxiv_2606.14608v1,Expert-Driven Survival Machines: Improving Stratification and Interpretability in Multiple Clinical Cohorts,cs.LG,ArXiv,,http://arxiv.org/abs/2606.14608v1
arxiv_2606.14688v1,Flood and Harvest: The Provable Necessity of Trivia for Generating Valuable Mathematics via the Lens of Language Generation in the Limit,cs.LG,ArXiv,,http://arxiv.org/abs/2606.14688v1
arxiv_2606.14695v1,Persona-Pruner: Sculpting Lightweight Models for Role-Playing,cs.LG,ArXiv,,http://arxiv.org/abs/2606.14695v1
