id,title,category,source,tags,source_url
hf_01-ai_Yi-34B-Chat,01-ai/Yi-34B-Chat,text-generation,Hugging Face,,https://huggingface.co/01-ai/Yi-34B-Chat
hf_01-ai_Yi-6B-Chat,01-ai/Yi-6B-Chat,text-generation,Hugging Face,,https://huggingface.co/01-ai/Yi-6B-Chat
hf_AEON-7_Qwen3.6-27B-AEON-Ultimate-Uncensored-BF16,AEON-7/Qwen3.6-27B-AEON-Ultimate-Uncensored-BF16,text-generation,Hugging Face,,https://huggingface.co/AEON-7/Qwen3.6-27B-AEON-Ultimate-Uncensored-BF16
hf_AEON-7_Qwen3.6-27B-AEON-Ultimate-Uncensored-Multimodal-NVFP4-MTP-XS,AEON-7/Qwen3.6-27B-AEON-Ultimate-Uncensored-Multimodal-NVFP4-MTP-XS,text-generation,Hugging Face,,https://huggingface.co/AEON-7/Qwen3.6-27B-AEON-Ultimate-Uncensored-Multimodal-NVFP4-MTP-XS
hf_AEON-7_Qwen3.6-27B-AEON-Ultimate-Uncensored-NVFP4,AEON-7/Qwen3.6-27B-AEON-Ultimate-Uncensored-NVFP4,text-generation,Hugging Face,,https://huggingface.co/AEON-7/Qwen3.6-27B-AEON-Ultimate-Uncensored-NVFP4
hf_AIDC-AI_Ovis1.6-Gemma2-9B,AIDC-AI/Ovis1.6-Gemma2-9B,text-generation,Hugging Face,,https://huggingface.co/AIDC-AI/Ovis1.6-Gemma2-9B
hf_AIDC-AI_Ovis1.6-Llama3.2-3B,AIDC-AI/Ovis1.6-Llama3.2-3B,text-generation,Hugging Face,,https://huggingface.co/AIDC-AI/Ovis1.6-Llama3.2-3B
hf_AIDC-AI_Ovis2-1B,AIDC-AI/Ovis2-1B,text-generation,Hugging Face,,https://huggingface.co/AIDC-AI/Ovis2-1B
hf_Alibaba-NLP_Tongyi-DeepResearch-30B-A3B,Alibaba-NLP/Tongyi-DeepResearch-30B-A3B,text-generation,Hugging Face,,https://huggingface.co/Alibaba-NLP/Tongyi-DeepResearch-30B-A3B
hf_Alibaba-NLP_gte-Qwen2-1.5B-instruct,Alibaba-NLP/gte-Qwen2-1.5B-instruct,text-generation,Hugging Face,,https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct
hf_Alibaba-NLP_gte-Qwen2-7B-instruct,Alibaba-NLP/gte-Qwen2-7B-instruct,text-generation,Hugging Face,,https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct
hf_Andycurrent_Gemma-3-1B-it-GLM-4.7-Flash-Heretic-Uncensored-Thinking_GGUF,Andycurrent/Gemma-3-1B-it-GLM-4.7-Flash-Heretic-Uncensored-Thinking_GGUF,text-generation,Hugging Face,base_model:google/gemma-3-1b-it|base_model:quantized:google/gemma-3-1b-it|conversational|en|endpoints_compatible|gguf|instruction-tuned|license:gemma|lightweight|reasoning|region:us|text-generation|uncensored,https://huggingface.co/Andycurrent/Gemma-3-1B-it-GLM-4.7-Flash-Heretic-Uncensored-Thinking_GGUF
hf_Applied-Innovation-Center_Karnak-40B-v1.0,Applied-Innovation-Center/Karnak-40B-v1.0,text-generation,Hugging Face,,https://huggingface.co/Applied-Innovation-Center/Karnak-40B-v1.0
hf_BAAI_AquilaChat2-7B,BAAI/AquilaChat2-7B,text-generation,Hugging Face,,https://huggingface.co/BAAI/AquilaChat2-7B
hf_BAAI_bge-reranker-v2-gemma,BAAI/bge-reranker-v2-gemma,text-generation,Hugging Face,,https://huggingface.co/BAAI/bge-reranker-v2-gemma
hf_BAAI_bge-reranker-v2.5-gemma2-lightweight,BAAI/bge-reranker-v2.5-gemma2-lightweight,text-generation,Hugging Face,,https://huggingface.co/BAAI/bge-reranker-v2.5-gemma2-lightweight
hf_BCCard_Qwen3-30B-A3B-FP8-Dynamic,BCCard/Qwen3-30B-A3B-FP8-Dynamic,text-generation,Hugging Face,,https://huggingface.co/BCCard/Qwen3-30B-A3B-FP8-Dynamic
hf_BioMistral_BioMistral-7B,BioMistral/BioMistral-7B,text-generation,Hugging Face,,https://huggingface.co/BioMistral/BioMistral-7B
hf_Brian6145_Qwen3.6-27B-Claude-Opus-Sonnet-Distilled-NVFP4-MTP,Brian6145/Qwen3.6-27B-Claude-Opus-Sonnet-Distilled-NVFP4-MTP,text-generation,Hugging Face,,https://huggingface.co/Brian6145/Qwen3.6-27B-Claude-Opus-Sonnet-Distilled-NVFP4-MTP
hf_ByteDance-Seed_Seed-OSS-36B-Instruct,ByteDance-Seed/Seed-OSS-36B-Instruct,text-generation,Hugging Face,,https://huggingface.co/ByteDance-Seed/Seed-OSS-36B-Instruct
hf_ByteDance-Seed_academic-ds-9B,ByteDance-Seed/academic-ds-9B,text-generation,Hugging Face,,https://huggingface.co/ByteDance-Seed/academic-ds-9B
hf_ByteDance_Ouro-1.4B,ByteDance/Ouro-1.4B,text-generation,Hugging Face,,https://huggingface.co/ByteDance/Ouro-1.4B
hf_ChantalPellegrini_RaDialog-interactive-radiology-report-generation,ChantalPellegrini/RaDialog-interactive-radiology-report-generation,text-generation,Hugging Face,,https://huggingface.co/ChantalPellegrini/RaDialog-interactive-radiology-report-generation
hf_ContextualAI_ctxl-rerank-v2-instruct-multilingual-1b,ContextualAI/ctxl-rerank-v2-instruct-multilingual-1b,text-generation,Hugging Face,,https://huggingface.co/ContextualAI/ctxl-rerank-v2-instruct-multilingual-1b
hf_DavidAU_Llama-3.2-8X3B-MOE-Dark-Champion-Instruct-uncensored-abliterated-18.4B-GGUF,DavidAU/Llama-3.2-8X3B-MOE-Dark-Champion-Instruct-uncensored-abliterated-18.4B-GGUF,text-generation,Hugging Face,,https://huggingface.co/DavidAU/Llama-3.2-8X3B-MOE-Dark-Champion-Instruct-uncensored-abliterated-18.4B-GGUF
hf_Doradus-AI_RnJ-1-Instruct-FP8,Doradus-AI/RnJ-1-Instruct-FP8,text-generation,Hugging Face,,https://huggingface.co/Doradus-AI/RnJ-1-Instruct-FP8
hf_Dream-org_Dream-v0-Instruct-7B,Dream-org/Dream-v0-Instruct-7B,text-generation,Hugging Face,,https://huggingface.co/Dream-org/Dream-v0-Instruct-7B
hf_DuoNeural_Gemma4-12B-IT-Abliterated-GGUF,DuoNeural/Gemma4-12B-IT-Abliterated-GGUF,text-generation,Hugging Face,,https://huggingface.co/DuoNeural/Gemma4-12B-IT-Abliterated-GGUF
hf_Efficient-Large-Model_gemma-2-2b-it,Efficient-Large-Model/gemma-2-2b-it,text-generation,Hugging Face,,https://huggingface.co/Efficient-Large-Model/gemma-2-2b-it
